game_timer,possession_clock,ball_x,ball_y,ball_radius,player_1_x,player_1_y,player_2_x,player_2_y,player_3_x,player_3_y,player_4_x,player_4_y,player_5_x,player_5_y,player_6_x,player_6_y,player_7_x,player_7_y,player_8_x,player_8_y,player_9_x,player_9_y,player_10_x,player_10_y
710.8200,11.7400,27.5190,41.7812,3.9448,17.6553,13.2045,8.3216,14.9547,25.9263,41.3786,8.4537,35.1790,22.6576,36.7025,12.1239,20.7612,7.7451,18.8093,23.3568,39.7392,16.8633,33.6508,11.3101,35.4625
710.7800,11.7100,27.9169,41.3719,4.1810,17.5424,13.1819,8.1794,15.0658,26.2905,40.9089,7.9970,34.7187,22.8174,36.8856,12.1460,20.7168,7.6379,18.7712,23.7014,39.3829,16.9106,33.7481,11.0217,35.2692
710.7400,11.6900,28.1535,41.0526,4.0075,17.4325,13.1694,8.0645,15.2326,26.6266,40.4430,7.5663,34.2671,22.9694,37.0926,12.1778,20.6558,7.5331,18.7395,24.0373,39.0057,16.9672,33.8480,10.7000,35.0095
710.7000,11.6700,28.5102,40.2976,3.8781,17.3185,13.1540,7.9513,15.4002,26.9841,39.9803,7.1427,33.7984,23.1400,37.2502,12.2289,20.5834,7.4303,18.7018,24.3540,38.6248,17.0099,33.9320,10.3786,34.6820
710.6600,11.6400,28.9097,39.8945,3.3221,17.2063,13.1425,7.8437,15.5552,27.3767,39.5221,6.7619,33.2912,23.3047,37.3742,12.2758,20.4069,7.3377,18.6684,24.6486,38.2547,17.0649,34.0161,10.0455,34.3295
710.6200,11.6200,29.3069,39.3563,2.6888,17.0910,13.1344,7.7273,15.7037,27.7747,39.1036,6.4395,32.7955,23.4235,37.4610,12.3310,20.2388,7.2780,18.6637,24.9372,37.8816,17.1228,34.1103,9.7470,34.0522
710.5800,11.6000,29.8183,38.7999,1.9345,16.9715,13.1301,7.6608,15.8862,28.1874,38.6853,6.1622,32.2717,23.5793,37.5573,12.3877,20.0691,7.1931,18.6428,25.2309,37.5134,17.1786,34.1579,9.4771,33.7988
710.5400,11.5800,30.3625,38.2379,0.9507,16.8519,13.1310,7.6024,16.0666,28.5956,38.2621,5.8833,31.7573,23.6646,37.6890,12.4489,19.9574,7.1200,18.6345,25.5095,37.1270,17.2296,34.2098,9.2248,33.5528
710.5000,11.5500,30.6542,37.7896,0.5861,16.7298,13.1334,7.5519,16.2483,28.9540,37.8290,5.6252,31.2822,23.7497,37.7385,12.5095,19.8432,7.0517,18.6416,25.7699,36.7154,17.2776,34.3291,8.9651,33.2429
710.4600,11.5300,30.8971,37.5838,1.3229,16.6033,13.1380,7.5232,16.4285,29.3194,37.3944,5.3971,30.8151,23.8209,37.7823,12.5914,19.7607,6.9883,18.6631,25.9962,36.2807,17.3248,34.4585,8.7360,32.9137
